"<span class=thead>Предмет</span>";"<span class=thead>Задание на 21-26 сентября 2014</span>"
"<span class=ttl1>ПОНЕДЕЛЬНИК</span>";"<hr />"
"Алгебра ";" "
"Геометрия ";" "
"Укр. лит.";" "
"Химия ";" "
"Физика ";" "
"Астрономия ";" "
"Русский ";" "
"<span class=ttl1>ВТОРНИК</span>";"<hr />"
"История Украины";" "
"Физкультура ";" "
"Мировая литература";" "
"Физика ";" "
"Английский ";" "
"Химия ";" "
"<span class=ttl1>СРЕДА</span>";"<hr />"
"Биология ";"до конца сентября сдать рефераты ""Беременность человека по неделям"" (расписать, что когда развивается у эмбриона и какие соотв. риски на каждом этапе) и ""Десять именных болезней"" (из них не менее 4 генетических, суть и причины каждой), объем - не более 4 страниц каждый"
"Всемирная история";" "
"Алгебра ";" "
"Инф. технологии";" "
"Информатика ";" "
"<span class=ttl1>ЧЕТВЕРГ</span>";"<hr />"
"Физика ";" "
"Алгебра ";" "
"Биология ";" "
"Укр. язык";" "
"Геометрия ";" "
"Физический практикум";" "
"<span class=ttl1>ПЯТНИЦА</span>";"<hr />"
"Физика ";" "
"Основы экономики";" "
"Укр. лит.";" "
"Защита Отечества";" "
"Английский ";" "
